QuoteText,Topic,Topic_Prob
"נכון שבחוק נקבע שוועדת המדע תקבל ויוגש לפניה הדוח, אבל אני אומר לכם שאנחנו רואים חשיבות גדולה גם בלי חובת החוק, בגלל החשיבות והאחריות שיש למועצה להסדרת מחקרים במחוללי מחלות ביולוגיים. אמנם כתוב שגדול המצווה ועושה מי שלא מצווה ועושה. דבר שלא מצווה יותר קל לעשות מאשר מצווים. כשמצווים יש כבר מחלוקת, כשמצווים עליך, אבל במקרה הזה קל לנו, יש לנו רצון ואנחנו שמחים לשמוע דוח בדבר החשוב מאוד הזה ובאחריות הגדולה שיש עליכם, שחלה על המועצה לביטחון ובטיחות ביולוגית במדינת ישראל. ",התנחלויות,0.5186373
"תראו, בעצם מה שמאחד את הדיונים, זה הדבר שהוא החשוב ביותר - תמיד אומרים העיקר הבריאות וזה נכון. אז בחרתי לעסוק בנושא הזה. האמת אדוני, השר ואדוני המנכ""ל, זו לא הפעם הראשונה בתקופה יחסית קצרה, שנושא הבריאות עולה כאן, כי הוא באמת הדבר החשוב ביותר, ואני רוצה לציין את כבוד השר, שזו לו הפעם השנייה, בתקופת זמן נורא נורא קצרה, ובאמת תודה על השתתפותך. הפעם השר להגיע על אף שהוועדה אפילו לא רצתה להטריח אותו ואנחנו מאד מעריכים את העניין הזה. ",התנחלויות,0.8654305
"אבל בסוף יש כבוד הכנסת. זה לא הכבוד האישי שלי, זה לא הכבוד של מאן דהו, זה כבודה של הכנסת ודרך פעילותה ועבודתה. ובכל פעם אנחנו מוצאים את עצמנו מכרסמים עוד ועוד, ואחר כך מצטערים גם על זה, אבל דואגים להרוס עוד יותר.",התנחלויות,0.54038036
"בשלושה נושאים אנחנו מבקשים לדון בחלק הראשון של הישיבה. הנושא הראשון קודם כל אנחנו מצווים ועושים. לפי החוק אנחנו אמורים לקבל את הדוח השנתי של האקדמיה הלאומית שלנו. כתוב שגדול המצוּוה ועושה מי שאינו מצווה ועושה. מי שמצווה השכר שלו יותר גדול, בגלל שתמיד יש סיבות למה לא, מי שלא מצווה אז עושה. אני רק רוצה להגיד לכם שאנחנו נקבל על זה שכר נמוך, בגלל שגם אם לא היה ציווי וגם אם לא היינו מחויבים לפי החוק אנחנו היינו מתכבדים והיינו גם מקיימים את הישיבה הזאת, לשמוע מתוך הערכה גדולה והחשיבות הגדולה והצורך והתועלת שאנחנו רואים בפעילות של האקדמיה הלאומית למדעים. אנחנו יודעים שהכותרת של החשיבות שלנו זה באמת לאגד את טובי אנשי המדע בישראל, במיוחד לטפח פעילות מדעית ולקדם אותה, לכן אנחנו רואים באמת זכות לשבת לדון על זה, גם אם לא היינו צריכים על פי חוק לשבת ולקבל את הדוח. ",התנחלויות,0.6335908
"נכון, פורסמו על זה מחקרים. ותמיד היה ויכוח, האם קליקה סגורה היא טובה יותר? אנשים שכולם נראים אותו דבר, חושבים אותו דבר, באים מאותו בית-מדרש, אז לכאורה הם מגובשים, לבין הערך המוסף שיש בגיוון. ויותר ויותר חברות גדולות ובין-לאומיות מבינות שיש ערך מוסף אמיתי לגיוון, זאת אומרת לזה שאתה נמצא עם אנשים שהם לא זהים לך, למשל בחדשנות, ביצירתיות, ביכולת לא להיות תפוס בפרדיגמות וכו'. ויותר ויותר גם בעולם העסקי מדברים על גיוון כערך.",התנחלויות,0.9767171
"תראו, מספר שבועות שאני באמת עוברת על החומרים, בודקת אותם, נשלפים אלי מדי יום צילומים, סרטונים וידיעות מהשטח שמבהירות שהמצב מאוד בעייתי. יותר מזה, הוא חמור. אם אנחנו מדברים שבמדינת ישראל יש מלחמה בתאונות הדרכים, ככה לפחות מדובר, אז איך המלחמה הזאת באה לידי ביטוי כשמדובר בחיילים שצריכים להיכנס ולצאת מבסיסי צה""ל? ",התנחלויות,0.54293305
"אני מתנצל, אני הולך לרביזיה. חבל שהדיון הזה מגיע לחמש דקות. אני חושב שזה לא הגיוני. אם אתה רוצה, תקיים אותו אבל לא יכול להיות שבחמש דקות נסיים את הדיון.",התנחלויות,0.59911716
"מדוע ההצעה הזאת טובה, כי היא לטובת הציבור. מדוע ההצעה הזאת רעה, משום שהיא לוקחת תעשייה שלמה כמו קרנות הנאמנות ומנהלי התיקים והיא תחסל אותם, היא תגרום לריכוזיות, היא תגרום לכך שנפחי המסחר בבורסה ירדו. הוועדה, חברי הוועדה כאן, הכנסת, ישבו אתנו, איך דואגים לייבוש הבורסה, זאת הצעה שתייבש את הבורסה אם לא יעשו את השינוי הקטן שאנחנו מבקשים.",התנחלויות,0.72766167
"שלום לכולם. חברים יקרים, ברוכים הבאים כולם. היום אנחנו רוצים כאן בכנסת ישראל לציין יום מיוחד לרגל 85 שנים לאצ""ל. עבורי ועבור חברי דוד ביטן, אין בכלל שאלה שזה אירוע מיוחד. אנחנו יודעים היטב כיצד נראה והתהווה הרעיון של האצ""ל, על ברכי בית""ר, ואנחנו כאן כדי באמת לעורר דיון בנושא הזה, להזכיר ולדבר. ",התנחלויות,0.6217248
"הדיון מתקיים בעקבות פניות שהגיעו לוועדה ממאבטחים שהתלוננו על תנאי השמירה הפיזיים שלהם. מהפניות שהגיעו לוועדה עולה כי בעמדות השמירה אין תמיד אפילו שקע חשמלי, חם בקיץ וקר בחורף, חלונות ודלתות שבורים ולא נסגרים ולפעמים גם את המדים של העובדים קשה ללבוש בקיץ. חברת הכנסת יוליה מלינובסקי פנתה בקשר למאבטחים שמועסקים בעמדות השמירה בבית החולים סורוקה. המאבטחים התלוננו שאין להם חדר מנוחה, אין להם אפילו מקרר קטן לשים את האוכל שמביאים מהבית. אם אני זוכר טוב, אז סורוקה נמצאת ליד איפה שאברהם אבינו שכן בבאר שבע וחם מאוד. בעמדות השמירה בקיץ יש כיסא ושמשייה בלבד, בחורף המאבטחים חשופים לגשם ולקור.",התנחלויות,0.9455892
"אני מתכבד לפתוח את ישיבת ועדת הפנים והגנת הסביבה בנושא תקנות המקרקעין (חיזוק בתים משותפים מפני רעידות אדמה) (שכרו של שמאי פינוי ובינוי), התשע""ה-2015, פרוטוקול מספר 230.",התנחלויות,0.5071702
"ההפטרה השבת בבית הכנסת, אני כל פעם מדברת על ההפטרה שקראתי בבית הכנסת, אם זה היה לפני שבועיים כשדיברתי במשרד המשפטים, אבל גם ההפטרה השבת בבית הכנסת מדברת על יפתח. לפני שבועיים דיברנו על רחב, אבל השבת דיברנו על יפתח. אני לא אספר פה את כל הסיפור, אבל מספר המקרא שהוא הבן של הזונה. אותו ילד דחוי שהחברה דוחה אותו והאחים שלו רבים איתו ולא רוצים לתת לו ירושה ואותו אחד, כשמגיע הרגע שבו צריך אותו והחברה זקוקה לו לסיוע צבאי ומזהים את הפוטנציאל האדיר שבו, הבן של הזונה הוא זה שמסייע. התנאי שהוא מבקש זה 'אל תשליכו אותי אחר כך', ורק אחרי שהם נשבעים, כי הוא יודע מה הגורל שצפוי לו, רק אחרי שהעם מבטיח וזקני העם מבטיחים לו, הוא עומד בראש הפעילות הצבאית.",התנחלויות,0.6979481
"היום נתמקד ביישום דו""ח שטאובר לקידום נשים בשירות המדינה ולכבוד הדיון הזה, אנחנו התכבדנו בהשתתפות של נציב שירות המדינה, עו""ד משה דיין והצוות שעוקב אחרי היישום של הדו""ח הזה. אנחנו מדברים על הדו""ח שהפיקה הוועדה בו התייחסה לנושא קידום נשים וייצוג נשים גם בשירות המדינה, לאור כל הדיונים שמתקיימים והתקיימו בוועדה הזו, שעסקו בכל הנושא של קידום נשים בשירות המדינה וייצוג נשים בתוך שירות המדינה. ",התנחלויות,0.62785226
"אז אני רוצה לפתוח את הדיון, משום שהוא הוזמן כדיון חירום בעקבות המקרה האחרון ביום שישי של שכחת ילדה בביתר עילית, עם שמות הילדים, שנשכחו למוות ברכב. לנו זה תמיד בקונוטציה של החום ושל הכוויות, אבל מסתבר שהילדים האלה עוברים מוות אכזרי מאד ואני מקווה שביחד, בכוחות משותפים, נצליח אולי למנוע את האסון הבא. ",התנחלויות,0.6972575
"התחלת הישיבה בדיוק מסמלת את המצב. את הפאניקה שלנו עכשיו בתחילת הישיבה – אני חושבת שהיא רק חלק קטן מהפאניקה והפחד והאיום שמרגישות הנשים בלוד וגם במקומות אחרים, לצערי הרב, בגלל איומי הרצח ובגלל האלימות הנפשעת שהן מתמודדות אתה יום יום. בלילה בין ה-23 וה-24 לספטמבר נרצחה דועאא אבו שרך מול ארבעת ילדיה. היום אני קודם כל מצדיעה למשפחה שנמצאת אתנו – אמא של דועאא ואחיותיה, וציבור הנשים האמיצות שמאז שהיא נרצחה יוצאות ומפגינות כמעט בכל יום בלוד, לא רק למען דועאא, לא רק כדי להביע את הצעקה של נשים שמרגישות שחייהן מאוימים והן עלולות להירצח בכל רגע, אלא גם כן ההרגשה שלי, כשהשתתפתי בהפגנה ביום שישי שהצעקה של הנשים הייתה צעקה של כלל החברה, הייתה צעקה כדי להבטיח חיים קצת נאותים בתוך החברה שלנו. ",התנחלויות,0.8547226
"בוקר טוב, אני מתכבד לפתוח ישיבת ועדת החינוך, התרבות והספורט של הכנסת. 27.11.2016, כ""ו בחשוון תשע""ז. הנושא על סדר היום הוא הסעה לתלמידות דתיות במועצה המקומית גבעת זאב הלומדות מחוץ ליישוב. ",התנחלויות,0.5209883
"בוקר טוב לכולם. אני יודע שיש אנשים בדרך, אז אנחנו נתחיל והם יצטרפו אלינו. תודה לכל האנשים שהגיעו. הנושא בו נדון היום הוא קליטת עולים חדשים ביהודה ושומרון. אנחנו קבענו את הנושא לאחר הסיור שערכה הוועדה במסגרת הוועדה, וגם עשיתי לא במסגרת הוועדה סיור ביהודה ושומרון ונחשפתי לקליטת העלייה. כמי שמעריך את קליטת העלייה כמאוד מוצלחת ביהודה ושומרון.",התנחלויות,0.6437997
"רק כדי לסבר לכם את האוזן עד כמה הנושא הזה נמצא בליבת האכפתיות של הציבור, כשהעלית את העניין הזה וצולמתי – בוקר טוב אוסאמה, הזכרתי אותך כבר ואדוני מוזמן. מה שאני מנסה בעצם לומר כדי לסבר לכם את האוזן, יש את תכנית ""הצינור"" בערוץ 10 כפי שכולכם מכירים. הנושא הזה הועלה שם וגם התראיינתי. היו 2 מיליון ציפיות בקטע הזה, 40,000 שיתופים. ומי שסביב השולחן הזה ומי שצופה בנו ומבין את המשמעות של דבר כזה – חבר הכנת פרי – זה מטורף. זה דבר שהוא מאד - - -",התנחלויות,0.71771574
"שלום לכולם, אני מתכבד לפתוח את הוועדה לצדק חלוקתי ושוויון חברתי. הנושא שיש לנו היום על סדר היום:  השוואת ההטבות הניתנות ליישובי הפריפריה הגיאוגרפית גם ליישובי הפריפריה החברתית. זו בעצם החלטת ממשלה שהתקבלה ביום 15 במאי 2016, בתמיכתו ובעידודו ובדחיפתו של שר הפנים המכהן, שהוא גם שר הפריפריה, השר אריה דרעי. ",התנחלויות,0.58308035
"לא אחת אנחנו דנים כאן בוועדה על איכות המזון המגיע לבתי-הספר, על כל מיני קיוסקים, פעם קראו לזה ""גזלנים"", אלה שבאים עם הרכב בצמוד לגדר ומוכרים לנו סנדוויץ' עם הפיח של המכונית ועם השמן שלא נגמר אף פעם, כמו נס פך השמן של חנוכה, רק הולך ומוסיף. אז סוף-סוף הנה מביאים אלינו לוועדה לאשר את תקנות הפיקוח על איכות המזון ולתזונה נכונה במוסדות החינוך, התשע""ו-2016. ",התנחלויות,0.7093752
"אבל לפני כן אנחנו מתכבדים לארח קבוצת תלמידים, קבוצה מפרלמנט הנוער המדעי הירושלמי של מוזיאון המדע על-שם - - - זו קבוצה נכבדת מאוד, למוזיאון המדע יש ודאי פינה חמה בלב ועדת המדע והטכנולוגיה, וחלק מהוועדה הזו היא גם משותפת לוועדת המדע. יש לנו קשר גם בגלל השם המשותף לנו ולהם וגם בגלל שאנחנו נמצאים בקרבת מקום, יש קשר עין בין הכנסת ל מוזיאון המדע, או כמעט קשר עין. אנחנו קרובים אחד לשני, קרובים פיזית, קרובים בלב, ואנחנו מאוד מעריכים ומוקירים את הפעילות שנעשית שם. לא מזמן, לפני כחודש, סיירנו סיור שני של הוועדה על פרויקט המים ועוד. ואני מבין שהחל מהשנה הוקדש הפרלמנט לנושא הפרטיות בעניין הטכנולוגיה. זה נושא מאוד חשוב שאנחנו דנים בו, והשבוע יש דיונים, יום מיוחד מחר, ועדת המדע מקדישה דיון מיוחד בנושא דווקא אצל בני נוער, ואני מזמין את חנה ברנשטיין שתציג את העבודה בנושא המאגר.",התנחלויות,0.53201604
"תראו, האמת, בטח במשרד הבריאות תוהים ותמהים מה קרה לוועדה לענייני ביקורת המדינה שמתעסקת כל כך הרבה בנושא של בריאות הנפש. אז אני אומר שמדובר באמת בנושא סופר חשוב, הוא מגיע מכמה כיוונים, ואני מקווה שעוד לא הוציאו עליי כרוז שם, אבל אני כן אומרת שמפאת חשיבותו של הנושא ומפאת רצינותו של משרד הבריאות בדיונים, אנחנו חושבים שכן יש מקום לקיים את הדיון וגם לשמוע תשובות. תשובות שאולי יפתיעו אותי. אולי נסתפק בהן, אבל אם לא, כמובן שיידרשו - - -",התנחלויות,0.8108889
"בוקר טוב. באנו לראות את השערים. אני הבנתי שמטרת המפגש הזה שאנחנו מתייחסים לשני נושאים, האחד זה נושא השילוט האלקטרוני בשבת והנושא השני זה הבידוק בכניסות. ",התנחלויות,0.50163466
"נתחיל, תיכף תצטרף אלינו ארבל, היועצת המשפטית של הוועדה. אזכיר קצת את השתלשלות הדברים. היה חשש להדלפה חמורה מוועדת החוץ והביטחון. אני לא רוצה להיכנס לפרטים הספציפיים של מה שהיה אז, אבל מה שכן ראינו אז בעקבות האירוע, שהכנסת, לתפיסתי לפחות הסובייקטיבית, לא יודעת לטפל בהימצאות חומרים סודיים ביותר אצל חברי הכנסת. ואת זה התחלנו להציף, ועשינו פה דיון אחד או שניים, אני כבר לא זוכר כמה היו.",התנחלויות,0.5451759
"אז עד פה הפתיחה שלי. עכשיו אנחנו רוצים לקבל עדויות של ההורים, כי זה חשוב ביותר, על מנת שאנחנו נספר לכולם, ולכן הוועדה הזו גם משודרת, כדי שכולם יידעו שהסיפורים שלנו הם לא סיפורים הזויים. מאחורי כל סיפור יש משפחה כואבת ורגישה ויש משפחות שהחיים גם נהרסו לגמרי, אם זה בתוך בני המשפחה, אם זה בתוך התא המשפחתי, שהילדים שילמו את המחיר, ואלה הדברים החשובים ביותר. ",התנחלויות,0.89437807
"הדברים האלה צריכים לבוא לידי ביטוי היום. לדעת מה עלה בגורל הילדים האלה, האם הם נמצאים כמאומצים, האם הם רשומים בספרי האימוץ? ככל שהמודעות עולה, בכל דיון מתווספות עוד משפחות שאומרות לא התלוננו, לא ידענו בכלל שיש אפשרות כזאת לבוא ולהתלונן. עכשיו אנחנו מבינים שאנחנו חלק מהמשפחות עם הילדים האבודים והעלומים ואנחנו רוצים לספר את הסיפור שלנו. כל מקום שאני מגיעה, תמיד יש סיפור חדש. זה לא ייאמן. ",התנחלויות,0.6189496
"תודה רבה לך גברתי היושבת-ראש. כמי שמתעסקת בנושא של ילדים בסיכון, ילדים שקשה להם להתקיים בצורה נורמטיבית, בין השאר אני מטפלת גם בעניין של משפחות חד הוריות. אנחנו עדים לכרסום הולך וגדל בכל מה שקשור לזכויות הילדים. כאשר אנחנו מדברים על מזונות, הרבה פעמים יש תחושה בציבור שמדובר על מזונות אישה. צריך להזכיר שמדובר במזונות ילדים. זה של הילדים. זה אמור לאפשר להם את הקיום המינימאלי. האחריות לא נגמרת כאשר הזוגיות מתפרקת.  ",התנחלויות,0.92341703
"בוקר טוב לכולם. אני מתכבד לפתוח את ישיבת ועדת הפנים והגנת הסביבה. נדון בישיבה הזאת בשני נושאים: פיתוח אתר הטבילה בבקעת הירדן והטלת חובת תשלום ארנונה והחלת הדין הישראלי על מעבר הגבול גשר ""אלנבי"". ",התנחלויות,0.51540613
"האמת היא שבהצעת החוק המקורית היתה גם תוספת שאמרה שנכון שהמשפט העברי כבר 3,500 שנה, ומדובר במשפט העברי על שור שנגח פרה. מי שיורד לעומק העקרונות מבין שיש פה – לא צריך דווקא לדבר על שור שנגח פרה אלא על דברים אחרים שהיום רלוונטיים. במלים פשוטות, צריך להקים מערכת שתנגיש את המשפט העברי לימינו. לכן רצינו בחלק השני להקים מכון שיהיה משותף למשרד המשפטים וללשכת עורכי הדין, ושישבו שם מומחים שינגישו את המשפט העברי לימים שלנו, ושופטים שירצו, יוכלו, ויהיה להם יותר קל, לחפש נושאים או לחפש נושאים שהם מתלבטים בהם, יהיה להם הרבה יותר קל.",התנחלויות,0.5547528
"כשאנחנו מדברים על משבר אקלים בישראל, המופע הכי בולט שלו הוא אפילו לא זה. אפשר לראות את המופע הכי בולט שלו באזור התחנה המרכזית הישנה בתל-אביב, שם רואים את אלפי האריתראים והסודאנים, אנשים שהגיעו אלינו מאזורי מזרח אפריקה, בה, בעבר, הייתה בצורת אחת לעשר שנים, והיום הבצורת היא אחת לשנתיים. כשאנחנו מדברים על בצורת, אנחנו אומרים לעצמנו: ברוכות וברוכים הבאים למאה ה-21, מאה שבה בגלל משבר האקלים בצורות תהיינה הרבה יותר שכיחות, וההתמודדות אתן תהיה חלק מהשגרה שלנו.",התנחלויות,0.6087173
"והדבר שהוא באמת, אני חושבת, מצאתי בעייתי יותר, שזה בניגוד להוראות נציבות שירות המדינה לעניין הזה. וזה מצב שדורש הסדרה ופיקוח. ואני חושבת בדיון היום לשמוע ממשרד הביטחון ומנציגות שירות המדינה, שאני מקווה שיש כאן נציגים – נציבות שירות המדינה?",התנחלויות,0.54925174
"שלום. היה לנו דיון קודם שהתארך. ידענו שהנושא בעניין יישום תכניות הממשלה יתארך, אז רצינו להתמקד בעניין המשטרה ובטחון פנים בנפרד. ולכן הנושא הוא מאוד חשוב לנו לשמוע, בעיקר העניין של פיילוט מצלמות הגוף, ההשפעה. איך אתם רואים את זה.",התנחלויות,0.5719411
"אני אתחיל בנקודה שאת התייחסת אליה. הנתון המטריד שמדבר על כך שמתוך כ-40,000 עמותות, אנחנו מדברים על כ-50% מהעמותות, אלה עמותות שאין פעילות דיווח לגביהן. הנתון הזה בשלב ראשון, עוד לפני שאנחנו מגיעים לפעולה מסוימת, צריך להיות ממופה ומנותח והדבר הזה יכול להיעשות ואני מבין שכבר החלה פעולה בעניין מול רשות המיסים, לצורך מיפוי הפער הזה ואיתור אותן עמותות שהן לא מדווחות והן פעילות. זו הנקודה המטרידה מבחינתנו.",התנחלויות,0.7279416
"אני ברשותכם רוצה לפתוח אבל לפני כן גם עוד מספר הערות. ראשית חשוב לי שיצא מהדיון בצורה מאוד מאוד ברורה, מרבית מוסדות החינוך בין אם זה מעונות יום ובין אם זה גנים, וגם במקומות של החוסים, אם אנחנו מתייחסים רגע להצעת החוק שלי, אני מתייחסת גם למוסדות של חוסים וגם למוסדות של קשישים, רובם עושים עבודת קודש. אנחנו לא מטילים ספק באף איש חינוך באשר הוא איש חינוך. אני באה מהמערכת הזאת, היא יקרה לליבי ואני אומרת את זה במלוא הרצינות. אבל גם יש עשבים שוטים, וגם קורים דברים לפעמים, ודברים לא טובים שקורים במערכת משפיעים לא רק על הילדים שנפגעים, אלא גם מאפילים על כל אותם אחרים שכן עושים עבודת קודש ופתאום כולם הופכים בבחינת חשודים. לכן אני חושבת שהמהלכים שאנחנו נעשה יוכלו להסיר את העננה מעל עובדי ההוראה שבאמת עושים עבודת קודש. ",התנחלויות,0.52235687
"כמובן, העובדים הם הנושא, אחרת בשביל מה היינו מביאים את הדיון הזה? הנושא הוא העובדים, מה השאלה? אין לנו משהו אחר. אמוניה אנחנו לא צורכים, לאף אחד מאתנו אין מפעל שמשתמש בזה. ",התנחלויות,0.9188293
"הדוח שכותרתו: ""עיגון חוקתי לחזון המדינה"" הופץ באתר הוועדה. מי מבין חברי הכנסת שמעוניין לקבל עותק קשיח שלו, יוכל לקבל אותו מצוות הוועדה באדיבותה של פרופ' גביזון.",התנחלויות,0.6829513
"עשיתי כמה ישיבות בנושא. עשיתי ארבע ישיבות ועשיתי ארבע פגישות עבודה. לדעתי הקדשתי לנושא הזה עשרות שעות כמעט עם כול הגורמים, חלקם פרטני, חלקם יותר מורחב. בסופו של דבר ביקשתי דבר אחד – לא נכנסתי לתוכן של החוק, שמתי בצד, אחרי זה דנו עליו, כן נכון, לא נכון, שינוי כזה או אחר – לי הייתה התניה אחת בכל הסיפור הזה, שהעובדים עוברים עם שכרם, אף עובד לא נפגע לא בשכר ולא במעמד, בתפקיד. בגלל שסברתי שאם מישהו רוצה שם למעלה לעשות איחודים, למטה לא משלמים את המחיר, שאלה למעלה ישלמו את המחיר. עכשיו יש דור א', יש דור ב', כבר עשינו כמה איחודים בחיים שלנו, זו לא פעם ראשונה, ולכן, זאת הייתה ההתניה שלי. ",התנחלויות,0.8781885
"אני מדבר בכנסת. יש לזה חשיבות. אנחנו צוחקים על זה, אבל יש לזה חשיבות. בסופו של דבר, למרות שעושים לקואליציה ולנו, וגם לי לפעמים, חיים קשים, זה התפקיד שלה. שלי, אני בטוח שתעשי זה על הצד הטוב ביותר. לשמחתנו, כי זה מחזק אותנו כדמוקרטיה. נכון שאני אצטרך להתמודד אולי עם כל מיני דברים, אבל זה לשמחתנו בסופו של דבר. אנחנו לא נישא פה נאומים גדולים, זה יעבור לוועדה שם. נשאר רק לי לאחל המון הצלחה. אתה רוצה להגיד משהו? ",התנחלויות,0.7198715
"יכול היה להיות מצב שעבור לידת פג המדינה משלמת והכסף היה הולך ליחסי ציבור של בית החולים, לתשלום חשמל, למחלקה אחרת שנמצאת במצוקה. לא יכולנו לנתב את הכספים כדי להציל את הילדים האלה.",התנחלויות,0.6448047
"ישנם צעירים יוצאי הפריפריה החברתית מישובים בשכונות במצב סוציו אקונומי נמוך, והם לא מגיעים לצערי הרב מספיק לשערי האקדמיה. 81% מהישובים החזקים לעומת 22% מהישובים החלשים. פער של כמעט פי 4 בין ישוב חזק לבין ישוב מוחלש מבחינת היכולת שלו לשלוח ילדים באקדמיה. פחות מהם לומדים באוניברסיטאות, 50% מהסטודנטים באשכולות 9-10 לעומת 37% מאשכולות 3-4. יותר מכך, הפערים בתחומי הלימוד הם שרק 8.4% מהסטודנטים באשכולות 1, 2 לומדים הנדסה ואדריכלות, לעומת 20.1% מקרב הצעירים באשכולות 9-10.",התנחלויות,0.5441056
"אני אומר מספר מילים ולאחר מכן ניתן לענת, ואנחנו גם נשחרר אותה להמשך כי היא תרוץ מוועדה לוועדה ללוות את היום החשוב הזה. ",התנחלויות,0.66906095
