,Tag
1032,בלי
1033,בלי
1034,בטחון פנים
1035,חינוך
1036,בלי
1037,נשים
1038,בטחון פנים
1039,בלי
1040,בלי
1041,בלי
1042,נשים
1043,רווחה
1044,בלי
1045,בלי
1046,בלי
1047,בריאות
1048,בטחון פנים
1049,בטחון
1050,בלי
1051,בלי
1052,רווחה
1053,חינוך
1054,כלכלי
1055,קורונה
1056,חינוך
1057,כלכלי
1058,חינוך
1059,בלי
1060,נשים
1061,בטחון
1062,רווחה
1063,בלי
1064,רווחה
1065,בלי
1066,חינוך
1067,בטחון
1068,בלי
1069,נשים
1070,בלי
1071,בלי
1072,בלי
1073,קורונה
1074,בטחון
1075,בטחון
1076,קורונה
1077,בלי
1078,רווחה
1079,חינוך
1080,קורונה
1081,בלי
1082,בלי
1083,נשים
1084,נשים
1085,חינוך
1086,בטחון
1087,קורונה
1088,בטחון
1089,בלי
1090,קורונה
1091,קורונה
1092,קורונה
1093,בלי
1094,כלכלי
1095,קורונה
1096,בלי
1097,בלי
1098,בלי
1099,בלי
1100,בלי
1101,קורונה
1102,בלי
1103,קורונה
1104,קורונה
1105,חינוך
1106,בלי
1107,רווחה
1108,בלי
1109,בלי
1110,בלי
1111,קורונה
1112,נשים
1113,חינוך
1114,בלי
1115,קורונה
1116,בריאות
1117,חינוך
1118,בלי
1119,קורונה
1120,בטחון פנים
1121,כלכלי
1122,בריאות
1123,בלי
1124,בריאות
1125,חינוך
1126,כלכלי
1127,בלי
1128,בטחון פנים
1129,נשים
1130,בלי
1131,נשים
1132,בלי
1133,נשים
1134,בלי
1135,קורונה
1136,חינוך
1137,בלי
1138,בלי
1139,בלי
1140,בלי
1141,רווחה
1142,כלכלי
1143,חינוך
1144,בלי
1145,רווחה
1146,רווחה
1147,בטחון פנים
1148,בריאות
1149,רווחה
1150,רווחה
1151,בלי
1152,בלי
1153,בלי
1154,חינוך
1155,בלי
1156,בלי
1157,כלכלי
1158,בריאות
1159,חינוך
1160,קורונה
1161,בלי
1162,בריאות
1163,קורונה
1164,בלי
1165,רווחה
1166,כלכלי
1167,נשים
1168,חינוך
1169,חינוך
1170,בלי
1171,בלי
1172,בטחון פנים
1173,בטחון פנים
1174,כלכלי
1175,בטחון פנים
1176,בלי
1177,כלכלי
1178,רווחה
1179,חינוך
1180,בלי
1181,בטחון פנים
1182,בריאות
1183,בלי
1184,נשים
1185,בלי
1186,רווחה
1187,בלי
1188,בלי
1189,בלי
1190,בלי
1191,קורונה
1192,בלי
1193,חינוך
1194,כלכלי
1195,בלי
1196,קורונה
1197,חינוך
1198,חינוך
1199,בלי
1200,בלי
1201,כלכלי
1202,בטחון
1203,בלי
1204,בלי
1205,בלי
1206,רווחה
1207,בלי
1208,בלי
1209,בלי
1210,חינוך
1211,קורונה
1212,בלי
1213,בלי
1214,בריאות
1215,כלכלי
1216,בריאות
1217,קורונה
1218,בלי
1219,כלכלי
1220,בלי
1221,כלכלי
1222,רווחה
1223,רווחה
1224,בלי
1225,חינוך
1226,חינוך
1227,כלכלי
1228,בטחון
1229,בלי
1230,בלי
1231,בלי
1232,בלי
1233,נשים
1234,כלכלי
1235,בלי
1236,בלי
1237,בלי
1238,כלכלי
1239,בטחון פנים
1240,בלי
1241,חינוך
1242,בלי
1243,בלי
1244,בלי
1245,בלי
1246,בלי
1247,חינוך
1248,בלי
1249,בלי
1250,כלכלי
1251,כלכלי
1252,בלי
1253,בלי
1254,קורונה
1255,כלכלי
1256,נשים
1257,בטחון
1258,חינוך
1259,קורונה
1260,בלי
1261,בטחון
1262,בלי
1263,חינוך
1264,בלי
1265,בטחון פנים
1266,בריאות
1267,בלי
1268,כלכלי
1269,בלי
1270,בלי
1271,בלי
1272,רווחה
1273,בלי
1274,בטחון פנים
1275,בטחון פנים
1276,נשים
1277,בלי
1278,בלי
1279,בלי
1280,בלי
1281,בלי
1282,בלי
1283,בלי
1284,כלכלי
1285,בטחון פנים
1286,בלי
1287,בלי
1288,בלי
1289,רווחה
1290,בלי
1291,בריאות
1292,בטחון
1293,נשים
1294,בריאות
1295,רווחה
1296,חינוך
1297,רווחה
1298,בריאות
1299,בטחון פנים
1300,בריאות
1301,חינוך
1302,בריאות
1303,בריאות
1304,כלכלי
1305,חינוך
1306,רווחה
1307,חינוך
1308,חינוך
1309,חינוך
1310,קורונה
1311,בלי
1312,בלי
1313,קורונה
1314,בלי
1315,נשים
1316,בלי
1317,בריאות
1318,רווחה
1319,בלי
1320,רווחה
1321,חינוך
1322,חינוך
1323,בטחון פנים
1324,נשים
1325,בלי
1326,בלי
1327,בלי
1328,רווחה
1329,בלי
1330,כלכלי
1331,נשים
1332,חינוך
1333,בלי
1334,נשים
1335,נשים
1336,בלי
1337,רווחה
1338,בלי
1339,בריאות
1340,חינוך
1341,בלי
1342,קורונה
1343,בלי
1344,בריאות
1345,בלי
1346,נשים
1347,בלי
1348,נשים
1349,נשים
1350,בלי
1351,בלי
1352,רווחה
1353,כלכלי
1354,בלי
1355,בלי
1356,קורונה
1357,בלי
1358,בלי
1359,רווחה
1360,נשים
1361,קורונה
1362,נשים
1363,רווחה
1364,בלי
1365,בלי
1366,חינוך
1367,בלי
1368,בלי
1369,בלי
1370,בלי
1371,בלי
1372,חינוך
1373,בלי
1374,בלי
1375,בלי
1376,רווחה
1377,בלי
1378,נשים
1379,חינוך
1380,חינוך
1381,כלכלי
1382,בלי
1383,כלכלי
1384,בטחון פנים
1385,בריאות
1386,בלי
1387,בלי
1388,נשים
1389,בלי
1390,בלי
1391,חינוך
1392,בלי
1393,בלי
1394,רווחה
1395,קורונה
1396,רווחה
1397,בלי
1398,קורונה
1399,רווחה
1400,בלי
1401,בלי
1402,בלי
1403,נשים
1404,בטחון פנים
1405,בלי
1406,חינוך
1407,בטחון
1408,בלי
1409,בלי
1410,נשים
1411,קורונה
1412,נשים
1413,רווחה
1414,רווחה
1415,בטחון פנים
1416,חינוך
1417,רווחה
1418,בטחון פנים
1419,בלי
1420,רווחה
1421,נשים
1422,בלי
1423,קורונה
1424,נשים
1425,כלכלי
1426,בלי
1427,בלי
1428,בלי
1429,בלי
1430,בלי
1431,בלי
1432,בלי
1433,רווחה
1434,כלכלי
1435,בלי
1436,רווחה
1437,חינוך
1438,בלי
1439,נשים
1440,בלי
1441,בריאות
1442,קורונה
1443,בלי
1444,נשים
1445,נשים
1446,בלי
1447,רווחה
1448,בלי
1449,חינוך
1450,קורונה
1451,בלי
1452,חינוך
1453,בלי
1454,בלי
1455,קורונה
1456,בטחון
1457,קורונה
1458,בטחון
1459,בלי
1460,נשים
1461,בלי
1462,כלכלי
1463,רווחה
1464,בלי
1465,נשים
1466,חינוך
1467,כלכלי
1468,בלי
1469,בלי
1470,חינוך
1471,נשים
1472,נשים
1473,קורונה
1474,כלכלי
1475,בלי
1476,בלי
1477,בלי
1478,חינוך
1479,קורונה
1480,בלי
1481,רווחה
1482,בלי
1483,בריאות
1484,בריאות
1485,בריאות
1486,בלי
1487,קורונה
1488,נשים
1489,בלי
1490,חינוך
1491,בלי
1492,בלי
1493,נשים
1494,חינוך
1495,בטחון פנים
1496,כלכלי
1497,רווחה
1498,בלי
1499,קורונה
1500,בלי
1501,בלי
1502,נשים
1503,בטחון
1504,בלי
1505,קורונה
1506,בלי
1507,בלי
1508,בריאות
1509,קורונה
1510,בטחון
1511,קורונה
1512,חינוך
1513,בלי
1514,כלכלי
1515,בלי
1516,בלי
1517,קורונה
1518,בלי
1519,בלי
1520,בלי
1521,בלי
1522,בלי
1523,בלי
1524,בלי
1525,בלי
1526,רווחה
1527,בלי
1528,בלי
1529,נשים
1530,קורונה
1531,בלי
1532,בלי
1533,בלי
1534,בטחון
1535,חינוך
1536,בלי
1537,חינוך
1538,בלי
1539,בלי
1540,רווחה
1541,חינוך
1542,בריאות
1543,נשים
1544,בלי
1545,בלי
1546,בלי
1547,בטחון פנים
1548,כלכלי
1549,בלי
1550,חינוך
1551,בלי
1552,בריאות
1553,רווחה
1554,בלי
1555,חינוך
1556,בטחון
1557,כלכלי
1558,בלי
1559,בלי
1560,כלכלי
1561,בלי
1562,רווחה
1563,בלי
1564,בריאות
1565,בלי
1566,בריאות
1567,בלי
1568,בלי
1569,כלכלי
1570,בריאות
1571,קורונה
1572,בלי
1573,בלי
1574,בלי
1575,בלי
1576,בריאות
1577,בלי
1578,בלי
1579,בלי
1580,רווחה
1581,בלי
1582,בלי
1583,בריאות
1584,כלכלי
1585,בלי
1586,רווחה
1587,בלי
1588,רווחה
1589,נשים
1590,נשים
1591,בלי
1592,בלי
1593,נשים
1594,בלי
1595,בלי
1596,בלי
1597,בלי
1598,רווחה
1599,בלי
1600,כלכלי
1601,בלי
1602,בלי
1603,חינוך
1604,חינוך
1605,בלי
1606,כלכלי
1607,חינוך
1608,בריאות
1609,בלי
1610,רווחה
1611,קורונה
1612,בלי
1613,בלי
1614,כלכלי
1615,רווחה
1616,רווחה
1617,חינוך
1618,נשים
1619,בלי
1620,בלי
1621,בלי
1622,בלי
1623,רווחה
1624,חינוך
1625,בלי
1626,קורונה
1627,בטחון
1628,בריאות
1629,בריאות
1630,בטחון פנים
1631,בלי
1632,קורונה
1633,חינוך
1634,חינוך
1635,חינוך
1636,נשים
1637,בריאות
1638,בלי
1639,בלי
1640,בלי
1641,בלי
1642,רווחה
1643,רווחה
1644,בלי
1645,בלי
1646,חינוך
1647,בלי
1648,בלי
1649,חינוך
1650,בלי
1651,בלי
1652,בלי
1653,בריאות
1654,בטחון פנים
1655,כלכלי
1656,בלי
1657,בלי
1658,בלי
1659,רווחה
1660,בלי
1661,קורונה
1662,קורונה
1663,בלי
1664,בלי
1665,בלי
1666,בריאות
1667,בלי
1668,כלכלי
1669,בלי
1670,קורונה
1671,בריאות
1672,בלי
1673,בלי
1674,בריאות
1675,בריאות
1676,בלי
1677,בלי
1678,בטחון פנים
1679,כלכלי
1680,כלכלי
1681,בלי
1682,בריאות
1683,נשים
1684,בלי
1685,חינוך
1686,כלכלי
1687,בלי
1688,חינוך
1689,בלי
1690,בלי
1691,חינוך
1692,בריאות
1693,בלי
1694,בלי
1695,בלי
1696,בלי
1697,כלכלי
1698,בלי
1699,נשים
1700,רווחה
1701,בטחון פנים
1702,בלי
1703,רווחה
1704,בטחון פנים
1705,קורונה
1706,בלי
1707,רווחה
1708,בלי
1709,בלי
1710,רווחה
1711,חינוך
1712,בלי
1713,בריאות
1714,חינוך
1715,בטחון פנים
1716,בטחון
1717,נשים
1718,כלכלי
1719,בלי
1720,בלי
1721,בלי
1722,בלי
1723,קורונה
1724,בלי
1725,קורונה
1726,חינוך
1727,בלי
1728,חינוך
1729,קורונה
1730,כלכלי
1731,בלי
1732,בלי
1733,בלי
1734,בטחון
1735,בלי
1736,נשים
1737,נשים
1738,בלי
1739,בלי
1740,בריאות
1741,בלי
1742,רווחה
1743,בלי
1744,בלי
1745,בריאות
1746,בטחון פנים
1747,בלי
1748,בלי
1749,בלי
1750,נשים
1751,בלי
1752,חינוך
1753,כלכלי
1754,בלי
1755,רווחה
1756,בלי
1757,רווחה
1758,קורונה
1759,כלכלי
1760,בריאות
1761,קורונה
1762,בלי
1763,רווחה
1764,בלי
1765,רווחה
1766,בטחון
1767,בלי
1768,בריאות
1769,בלי
1770,נשים
1771,בלי
1772,בלי
1773,בלי
1774,חינוך
1775,בלי
1776,בלי
1777,בלי
1778,בלי
1779,בריאות
1780,בטחון
1781,בלי
1782,בריאות
1783,בלי
1784,בלי
1785,בלי
1786,בלי
1787,בלי
1788,רווחה
1789,בלי
1790,בלי
1791,חינוך
1792,בטחון
1793,בלי
1794,בלי
1795,בלי
1796,בלי
1797,קורונה
1798,בלי
1799,חינוך
1800,כלכלי
1801,בלי
1802,בטחון
1803,בלי
1804,קורונה
1805,רווחה
1806,בלי
1807,בלי
1808,חינוך
1809,בלי
1810,בלי
1811,בלי
1812,בלי
1813,בטחון
1814,בטחון
1815,בלי
1816,בלי
1817,בלי
1818,נשים
1819,בלי
1820,נשים
1821,בלי
1822,חינוך
1823,בלי
1824,רווחה
1825,כלכלי
1826,בלי
1827,נשים
1828,בלי
1829,בלי
1830,קורונה
1831,בלי
1832,רווחה
1833,בלי
1834,קורונה
1835,בלי
1836,בלי
1837,קורונה
1838,כלכלי
1839,קורונה
1840,כלכלי
1841,חינוך
1842,בלי
1843,כלכלי
1844,בלי
1845,קורונה
1846,כלכלי
1847,בלי
1848,בלי
1849,קורונה
1850,בלי
1851,כלכלי
1852,רווחה
1853,בריאות
1854,בלי
1855,בלי
1856,כלכלי
1857,חינוך
1858,בלי
1859,בלי
1860,בלי
1861,בטחון פנים
1862,בלי
1863,בלי
1864,בלי
1865,רווחה
1866,קורונה
1867,רווחה
1868,בלי
1869,קורונה
1870,קורונה
1871,בלי
1872,רווחה
1873,בלי
1874,בלי
1875,בטחון
1876,בלי
1877,רווחה
1878,קורונה
1879,בלי
1880,כלכלי
1881,בלי
1882,רווחה
1883,בלי
1884,קורונה
1885,בלי
1886,בריאות
1887,רווחה
1888,בלי
1889,רווחה
1890,בלי
1891,בלי
1892,חינוך
1893,בלי
1894,בלי
1895,חינוך
1896,בלי
1897,בטחון פנים
1898,בלי
1899,בלי
1900,כלכלי
1901,בלי
1902,חינוך
1903,בלי
1904,בלי
1905,בלי
1906,בלי
1907,בטחון
1908,קורונה
1909,נשים
1910,כלכלי
1911,כלכלי
1912,בלי
1913,רווחה
1914,קורונה
1915,בלי
1916,בלי
1917,בלי
1918,רווחה
1919,כלכלי
1920,בלי
1921,כלכלי
1922,בטחון פנים
1923,בריאות
1924,בלי
1925,חינוך
1926,בריאות
1927,בלי
1928,רווחה
1929,רווחה
1930,רווחה
1931,רווחה
1932,בטחון
1933,בלי
1934,בריאות
1935,בלי
1936,בריאות
1937,בריאות
1938,בלי
1939,קורונה
1940,בלי
1941,חינוך
1942,בריאות
1943,בלי
1944,רווחה
1945,נשים
1946,רווחה
1947,חינוך
1948,נשים
1949,בלי
1950,כלכלי
1951,כלכלי
1952,חינוך
1953,בלי
1954,כלכלי
1955,בלי
1956,כלכלי
1957,בלי
1958,בריאות
1959,בלי
1960,בלי
1961,בלי
1962,בריאות
1963,כלכלי
1964,בריאות
1965,חינוך
